aDPS,rDPS,nDPS,Class
5338.26462,6531.021574,5077.769472,AST
6914.332276,6528.052986,6528.052986,WHM
6740.096947,6527.543887,6527.543887,WHM
5938.277326,6525.438382,5786.53767,SCH
5808.102903,6524.934574,5721.620698,SCH
6030.822636,6524.170693,5797.305611,SCH
6102.18933,6524.17024,5818.259445,SCH
6767.925965,6523.223917,6523.223917,SGE
6083.270945,6521.346991,5700.91917,SCH
6182.731055,6518.550422,5783.394508,SCH
5407.072831,6517.00016,5246.53535,AST
5318.716734,6516.922132,5092.575017,AST
5927.223138,6515.240506,5686.025188,SCH
6695.332677,6514.913752,6514.913752,WHM
5228.042847,6513.91833,4962.313947,AST
5953.205359,6513.56812,5777.831391,SCH
5223.762287,6512.723807,5126.041886,AST
5355.172129,6512.21415,5182.4365,AST
6770.588822,6511.885337,6511.885337,WHM
6706.896073,6508.747914,6508.747914,SGE
6796.048045,6507.546339,6507.546339,SGE
6004.474293,6507.317276,5817.424289,SCH
5229.394124,6506.685021,5043.999601,AST
5886.835382,6503.664868,5669.351259,SCH
5302.977817,6503.637931,5101.880016,AST
5450.390749,6501.157861,5276.20374,AST
6828.916084,6498.415803,6498.415803,WHM
5355.354821,6497.647308,5146.459471,AST
6896.73013,6491.620863,6491.620863,WHM
6743.40062,6486.49776,6486.49776,SGE
6750.664317,6486.172446,6486.172446,SGE
5332.97676,6481.269781,5142.03103,AST
5248.699327,6477.829062,5076.259746,AST
5291.916778,6477.231922,5136.821209,AST
6791.024103,6474.262549,6474.262549,WHM
6999.90215,6472.890391,6472.890391,WHM
6750.967343,6472.794231,6472.794231,WHM
5351.409385,6465.924016,5018.974607,AST
5481.49473,6463.395549,5294.766262,AST
6762.770065,6463.32571,6463.32571,WHM
6668.781512,6460.629158,6460.629158,WHM
6580.366154,6458.177539,6458.177539,SGE
5394.611034,6457.333077,5094.417386,AST
6740.963136,6455.939054,6455.939054,SGE
5161.431599,6455.888006,5008.835708,AST
6700.635756,6454.291197,6454.291197,SGE
6718.5233,6443.524823,6443.524823,WHM
6720.386558,6439.397703,6439.397703,WHM
5368.154483,6438.42757,5220.278606,AST
6922.538472,6437.781868,6437.781868,WHM
6917.792264,6436.835872,6436.835872,WHM
6655.592682,6434.231402,6434.231402,SGE
5362.089419,6433.720641,5127.130009,AST
5399.785402,6431.767067,5070.035412,AST
6881.564185,6431.041348,6431.041348,WHM
6872.141594,6430.359352,6430.359352,WHM
6795.724832,6427.505805,6427.505805,WHM
6779.171093,6427.084007,6427.084007,WHM
5214.678648,6427.011714,5041.072232,AST
6575.427828,6426.936072,6426.936072,WHM
5108.338054,6426.054922,4923.96286,AST
6687.37657,6425.467614,6425.467614,SGE
6735.892607,6420.4937,6420.4937,WHM
6613.082925,6418.87419,6418.87419,SGE
5268.435718,6416.722292,5006.275145,AST
5361.876569,6416.484038,5167.324099,AST
6750.377444,6414.62312,6414.62312,SGE
6748.642919,6413.320244,6413.320244,WHM
6740.140526,6413.054801,6413.054801,WHM
6712.150813,6411.636087,6411.636087,WHM
6645.07057,6411.481986,6411.481986,SGE
6644.719967,6410.828835,6410.828835,SGE
6683.621455,6406.721598,6406.721598,WHM
6736.767341,6406.51445,6406.51445,WHM
6722.177214,6404.763502,6404.763502,WHM
6663.99565,6404.55301,6404.55301,SGE
5238.229272,6404.050133,5020.722043,AST
6746.035353,6403.312157,6403.312157,WHM
6691.581709,6401.917246,6401.917246,WHM
6575.532482,6399.980902,6399.980902,WHM
6674.946181,6397.897517,6397.897517,WHM
6738.690653,6397.413855,6397.413855,SGE
6622.26359,6397.080081,6397.080081,WHM
6634.324999,6394.087009,6394.087009,WHM
5214.279546,6393.453532,5022.523309,AST
5219.92377,6390.512971,4999.428387,AST
6694.385056,6390.346539,6390.346539,WHM
5259.71766,6389.55801,5077.547818,AST
6731.014065,6389.517706,6389.517706,WHM
6615.340914,6387.029723,6387.029723,SGE
6577.510662,6386.382724,6386.382724,WHM
5384.480146,6380.561015,5105.061951,AST
6610.285465,6380.057111,6380.057111,WHM
6733.831059,6376.088319,6376.088319,WHM
6508.289579,6375.796549,6375.796549,SGE
6670.545008,6375.217092,6375.217092,WHM
6549.956348,6375.044324,6375.044324,SGE
5255.29094,6373.451203,5099.009646,AST
6545.294171,6373.270326,6373.270326,SGE
5229.284772,6373.214546,4962.89632,AST
5227.815849,6371.752024,4859.210336,AST
6521.581585,6371.249472,6371.249472,WHM
6518.82265,6370.879354,6370.879354,SGE
6712.009444,6370.56521,6370.56521,WHM
6633.903404,6370.171671,6370.171671,WHM
6572.145041,6369.387938,6369.387938,SGE
6578.363693,6368.808784,6368.808784,SGE
6574.883527,6368.552703,6368.552703,SGE
6639.15749,6367.136442,6367.136442,WHM
6654.510291,6366.964328,6366.964328,WHM
6673.406543,6365.404866,6365.404866,WHM
6565.3094,6363.253547,6363.253547,WHM
6642.793064,6362.033431,6362.033431,WHM
6811.664584,6361.943436,6361.943436,WHM
6650.710165,6361.632395,6361.632395,WHM
5267.25765,6360.781342,5032.691503,AST
5174.615912,6360.606698,4913.714504,AST
6606.664654,6358.884487,6358.884487,WHM
5196.087748,6357.097231,5085.81739,AST
6684.815319,6352.658756,6352.658756,WHM
6539.512691,6352.422294,6352.422294,WHM
6523.572029,6351.15722,6351.15722,SGE
6451.785281,6350.527409,6350.527409,SGE
5110.460073,6350.183793,4908.301993,AST
6687.810934,6348.899106,6348.899106,WHM
6746.668296,6348.209399,6348.209399,WHM
5233.483718,6346.460369,5069.954035,AST
5254.204687,6346.281114,5031.38643,AST
6460.593213,6343.964034,6343.964034,SGE
6708.03929,6343.117471,6343.117471,WHM
6598.410937,6342.877508,6342.877508,SGE
6467.57814,6341.547518,6341.547518,SGE
5317.72662,6341.123082,5087.794219,AST
6656.60323,6340.784694,6340.784694,SGE
5500.420313,6340.612124,5127.816752,AST
5231.164881,6338.190902,5126.130059,AST
5283.944308,6337.960171,5136.368357,AST
6646.550659,6337.267347,6337.267347,SGE
5195.925433,6335.614919,5068.126447,AST
6761.0306,6335.570632,6335.570632,WHM
5242.284254,6334.640305,5025.625938,AST
6602.666409,6333.948404,6333.948404,SGE
6589.842356,6333.433331,6333.433331,SGE
6515.999976,6332.366973,6332.366973,WHM
5209.441669,6332.363157,4951.460549,AST
6525.446583,6331.766526,6331.766526,SGE
6713.861289,6331.591848,6331.591848,WHM
6605.701074,6331.536713,6331.536713,SGE
6588.104656,6330.8307,6330.8307,SGE
5277.300564,6329.262285,5035.135925,AST
5140.05033,6329.138447,4933.337854,AST
6566.108016,6328.186263,6328.186263,WHM
6700.854564,6327.47346,6327.47346,WHM
6653.347629,6327.246268,6327.246268,SGE
6476.466287,6326.424939,6326.424939,WHM
6826.12461,6325.735182,6325.735182,WHM
6828.925829,6325.045225,6325.045225,WHM
6416.77403,6322.850083,6322.850083,WHM
6578.55821,6322.713255,6322.713255,SGE
6654.670449,6322.418078,6322.418078,WHM
6538.537014,6321.617669,6321.617669,SGE
6720.038702,6320.859973,6320.859973,WHM
6633.167757,6319.59315,6319.59315,WHM
6473.8139,6319.577348,6319.577348,SGE
6599.19689,6317.190028,6317.190028,SGE
5148.654252,6316.963016,4957.829695,AST
6634.783411,6316.881976,6316.881976,SGE
5094.229783,6316.060794,4944.625656,AST
6594.919413,6313.932768,6313.932768,WHM
5176.395256,6313.766626,4979.811241,AST
6516.366073,6311.554477,6311.554477,WHM
6463.280815,6311.478629,6311.478629,SGE
5141.507636,6310.559904,4960.648385,AST
6583.313207,6309.477839,6309.477839,WHM
6585.203635,6309.449391,6309.449391,WHM
6606.769021,6306.608086,6306.608086,WHM
6412.987863,6306.492199,6306.492199,SGE
6514.249553,6305.730199,6305.730199,SGE
6358.158411,6305.566961,6305.566961,SGE
6694.362759,6303.501252,6303.501252,WHM
5303.923628,6302.845179,5088.680051,AST
6643.294363,6302.702016,6302.702016,SGE
6461.425644,6302.668372,6302.668372,SGE
5167.631531,6302.623023,4933.826316,AST
6480.421469,6302.411091,6302.411091,SGE
6602.401104,6300.429477,6300.429477,SGE
6574.207693,6300.327196,6300.327196,SGE
6481.717896,6299.232277,6299.232277,WHM
6543.629377,6298.923171,6298.923171,SGE
5213.628327,6297.422894,5006.144443,AST
5123.811858,6297.073127,4941.562802,AST
6597.962053,6295.16712,6295.16712,WHM
6528.768967,6294.447182,6294.447182,WHM
6526.961661,6294.136011,6294.136011,SGE
6675.056677,6294.065618,6294.065618,WHM
6548.270117,6293.799492,6293.799492,SGE
6462.218981,6293.549277,6293.549277,SGE
5081.412649,6292.545051,4977.809079,AST
5073.654971,6292.135006,4866.3059,AST
6449.5037,6290.376494,6290.376494,WHM
6383.366113,6290.070472,6290.070472,SGE
