aDPS,rDPS,nDPS,Class
10014.77974,10473.98738,9661.097732,RDM
10006.12783,10473.80505,9605.831863,RDM
10352.77075,10470.96919,9846.4281,SMN
10364.70819,10467.06942,9967.851158,SMN
10355.15974,10464.06761,9805.58583,SMN
10325.35985,10459.09478,9774.952006,SMN
10273.572,10453.19261,9916.022274,SMN
10178.60201,10451.19447,9870.472842,SMN
10137.90254,10442.23202,9896.295355,SMN
10235.26324,10441.9272,9747.032708,SMN
9962.36123,10440.76411,9606.260096,RDM
10146.52543,10436.90234,9672.448137,RDM
10296.56402,10436.20802,9885.240411,SMN
10204.47564,10435.10717,9920.117555,SMN
9920.894502,10433.7732,9620.101219,RDM
10019.89444,10429.90115,9739.656209,RDM
10350.24437,10429.01115,9808.46846,SMN
9984.563481,10428.16791,9782.906974,SMN
10552.52004,10425.8822,9861.706721,SMN
10476.22496,10424.73851,9774.910235,SMN
10270.09605,10423.50539,9837.009856,SMN
10080.28643,10422.91105,9579.265207,RDM
10034.77832,10419.84968,9690.869087,RDM
10365.09337,10418.17601,9775.144111,SMN
10206.37923,10415.80946,9842.039493,SMN
10151.66616,10415.66953,9850.74146,SMN
10031.76577,10410.54587,9606.627824,RDM
10049.59899,10410.12154,9704.992114,RDM
10539.1325,10408.60988,9790.168267,SMN
10596.9017,10407.92391,9901.466384,SMN
10326.74373,10407.50687,9811.095446,SMN
10277.90668,10406.22815,9683.738429,RDM
10110.73729,10404.96548,9616.597186,RDM
10273.18448,10401.66527,9732.921686,SMN
10193.47655,10389.97011,9637.717043,RDM
10044.56628,10389.12636,9736.15219,SMN
10173.33709,10388.2894,9865.539411,SMN
10356.83895,10387.2003,9797.055301,SMN
10170.88998,10386.93063,9845.582522,SMN
10323.97604,10386.59353,9929.629705,SMN
10503.3483,10384.7943,9847.172407,SMN
10141.63739,10384.71317,9730.062128,SMN
10368.23278,10383.87089,9785.234013,SMN
10339.61142,10381.66148,9804.252962,SMN
10200.2501,10379.49029,9803.70258,SMN
9939.086201,10379.05581,9605.859594,RDM
10641.69809,10377.04921,9830.093208,SMN
10029.06297,10376.60885,9828.373958,SMN
10104.78354,10376.02854,9816.039401,SMN
10515.70933,10375.12688,9848.268716,SMN
10174.00091,10374.57922,9877.012054,SMN
10086.00304,10372.15128,9750.465453,SMN
10082.06115,10371.07177,9863.845424,SMN
10017.03385,10370.43821,9731.099243,SMN
9692.506075,10368.87441,9634.28272,RDM
10252.73676,10365.50618,9704.525382,RDM
9978.677141,10362.38237,9661.913837,RDM
10047.27553,10362.34509,9651.05472,RDM
10303.8988,10358.72994,9827.881043,SMN
10053.15896,10354.27328,9835.611092,SMN
10164.33344,10349.80599,9748.732184,SMN
9988.70154,10348.32813,9766.439032,SMN
10451.15401,10345.45857,9788.251215,SMN
9994.656575,10344.79931,9760.639032,SMN
10175.9963,10344.51869,9752.283152,SMN
10348.0056,10344.38412,9773.498418,SMN
10006.53939,10343.72361,9766.874901,SMN
10259.62671,10342.78889,9728.598573,SMN
9867.854052,10341.70581,9571.607168,RDM
10055.8054,10336.34173,9776.746551,SMN
10330.78613,10335.42173,9654.333033,RDM
9975.522005,10332.80302,9794.948714,SMN
10772.90962,10332.23851,9709.8581,SMN
9964.296509,10330.60582,9472.678879,RDM
9931.257107,10329.61802,9616.735656,RDM
10044.28038,10329.06003,9557.064287,RDM
9908.569723,10328.67913,9746.471412,SMN
10183.16724,10328.19376,9654.07675,SMN
10008.82089,10327.40306,9766.911613,SMN
10165.15945,10327.29292,9733.659087,SMN
10237.42495,10320.1306,9745.000447,RDM
10003.81296,10317.86565,9793.668436,SMN
10410.08054,10317.66838,9597.764793,RDM
10068.26192,10312.99251,9683.776803,SMN
9941.729713,10312.20034,9614.185823,SMN
10164.07068,10310.77005,9558.894116,RDM
10090.64971,10310.44268,9836.870287,SMN
9888.264531,10309.73529,9629.934095,RDM
10016.80695,10309.6338,9515.336393,RDM
10089.42217,10309.43877,9722.262563,SMN
9977.146222,10309.17348,9627.426721,RDM
10090.44644,10305.81357,9770.916292,SMN
9797.367808,10305.1904,9425.921819,RDM
10015.37433,10304.97907,9815.815288,SMN
9972.824621,10304.46712,9499.856053,RDM
10066.75807,10303.32664,9552.052461,RDM
10089.3879,10298.92494,9558.43599,RDM
9926.407753,10292.41045,9503.044499,RDM
9786.075916,10291.47683,9551.858428,RDM
9851.891815,10287.32474,9530.578684,RDM
9971.792543,10285.50474,9568.65622,RDM
9997.795472,10278.18912,9610.998719,RDM
10126.2533,10272.10493,9527.242442,RDM
9904.849345,10263.50322,9581.092531,RDM
9838.028649,10260.63622,9407.244439,RDM
9794.521765,10259.02207,9382.61077,RDM
10014.306,10258.24022,9497.368968,RDM
9918.026509,10255.49061,9469.535256,RDM
9920.731363,10245.80833,9459.006696,RDM
10278.11126,10242.89893,9473.012605,RDM
9899.700185,10242.62518,9410.447467,RDM
9945.286067,10240.28234,9469.893386,RDM
9769.361794,10238.36114,9549.574054,RDM
