aDPS,rDPS,nDPS,Class
8757.332933,10164.29153,8309.467505,BRD
9139.240217,10154.09664,8596.77259,BRD
8783.506994,10153.04006,8458.543454,BRD
8821.86292,10151.60848,8442.849043,BRD
8677.171425,10151.55754,8417.849286,BRD
8806.990082,10149.29144,8289.154216,BRD
10445.58869,10147.42209,10147.42209,MCH
8772.468287,10147.31756,8475.757706,BRD
8903.492139,10144.37068,8334.593227,BRD
10448.96386,10143.45002,10143.45002,MCH
9012.10305,10141.18097,8488.264482,BRD
9117.845327,10140.80985,8443.70203,BRD
8640.323712,10140.33035,8275.46102,BRD
8863.303284,10135.28842,8592.538049,BRD
8820.520473,10135.16246,8353.824336,BRD
9025.233636,10133.25724,8584.647619,BRD
9030.550914,10128.88495,8466.622302,BRD
9150.37542,10127.00648,8505.156172,BRD
8677.057267,10124.90028,8292.378341,BRD
9015.721623,10122.44055,8464.174978,BRD
8813.143468,10120.87875,8320.503805,BRD
8678.386777,10120.44157,8287.89588,BRD
8694.239516,10119.36978,8291.448525,BRD
10390.73609,10117.73503,10117.73503,MCH
10406.65354,10115.61885,10115.61885,MCH
8851.014469,10114.91385,8429.100755,BRD
8736.635441,10110.35944,8558.389616,BRD
8694.606013,10107.91386,8350.198812,BRD
10361.28355,10107.50298,10107.50298,MCH
8706.136805,10106.123,8331.430635,BRD
8900.893762,10104.43997,8484.410358,BRD
8486.126483,10103.65469,8265.317554,BRD
10223.65703,10096.02452,10096.02452,MCH
8576.184616,10084.14093,8390.472405,BRD
10434.94081,10083.08982,10083.08982,MCH
8963.013852,10082.81987,8448.601331,BRD
8648.779509,10074.69173,8286.904703,BRD
8610.596507,10073.48135,8234.332541,BRD
8493.187411,10070.0451,8301.508116,BRD
8725.461419,10068.86102,8325.986565,BRD
10387.50005,10065.91225,10065.91225,MCH
8938.585809,10064.85498,8336.641424,BRD
10251.46394,10064.40145,10064.40145,MCH
8672.376692,10064.13097,8468.424522,BRD
8623.611667,10063.43501,8311.00844,BRD
8645.382177,10062.59393,8304.662633,BRD
8894.094771,10061.2395,8418.465975,BRD
8730.142664,10060.35569,8270.374449,BRD
8890.246986,10054.97971,8270.773366,BRD
10248.64694,10052.60461,10052.60461,MCH
8758.874859,10052.4124,8308.895291,BRD
8506.057862,10049.07421,8185.796292,BRD
8774.648235,10044.81394,8465.664056,BRD
10266.73513,10040.0683,10040.0683,MCH
8701.623872,10038.47013,8253.056102,BRD
8885.763427,10038.02673,8291.728518,BRD
8595.889533,10037.41042,8288.382612,BRD
10233.93849,10031.52092,10031.52092,MCH
8687.180377,10031.343,8310.739663,BRD
10363.81267,10021.42249,10021.42249,MCH
10417.80381,10021.10728,10021.10728,MCH
10167.566,10021.05989,10021.05989,MCH
10233.32015,10020.76308,10020.76308,MCH
8428.73564,10019.89672,8098.890017,BRD
8556.78071,10017.98854,8452.756653,BRD
10316.45076,10016.0833,10016.0833,MCH
8651.662726,10015.93424,8370.501731,BRD
10211.58352,10015.90342,10015.90342,MCH
8804.282773,10015.32811,8422.351216,BRD
8719.814379,10012.72353,8313.048048,BRD
10401.28365,10011.9569,10011.9569,MCH
10220.6869,10010.50521,10010.50521,MCH
10193.77567,10009.45346,10009.45346,MCH
8917.681382,10004.62236,8414.690911,BRD
8844.117794,10003.62514,8377.164086,BRD
8829.706509,10003.47507,8367.203073,BRD
10494.5761,10002.33774,10002.33774,MCH
8773.865607,10000.66392,8272.00548,BRD
8751.549386,9999.910785,8404.992965,BRD
9059.746999,9999.676097,8646.68455,BRD
8587.190809,9998.243319,8465.943131,BRD
10198.91998,9998.239366,9998.239366,MCH
10255.03137,9992.408106,9992.408106,MCH
10302.85369,9985.92106,9985.92106,MCH
10285.43229,9985.135553,9985.135553,MCH
10261.60272,9982.280047,9982.280047,MCH
10249.47992,9975.700975,9975.700975,MCH
10298.02909,9975.650649,9975.650649,MCH
10205.9139,9962.323267,9962.323267,MCH
10316.55088,9958.465067,9958.465067,MCH
10425.50269,9951.504169,9951.504169,MCH
10119.7322,9948.254095,9948.254095,MCH
10237.25081,9945.2997,9945.2997,MCH
10308.62526,9942.149573,9942.149573,MCH
10182.94874,9935.225225,9935.225225,MCH
10384.72861,9933.50224,9933.50224,MCH
10237.37279,9930.090416,9930.090416,MCH
10212.09452,9928.462995,9928.462995,MCH
10317.22528,9925.387818,9925.387818,MCH
10138.86679,9923.552486,9923.552486,MCH
10408.57484,9921.064293,9921.064293,MCH
10232.34541,9919.781768,9919.781768,MCH
10155.50195,9916.936709,9916.936709,MCH
10187.49679,9914.183038,9914.183038,MCH
9983.546231,9906.618673,9906.618673,MCH
10272.89463,9902.206645,9902.206645,MCH
10070.5101,9900.088206,9900.088206,MCH
10279.59024,9899.370414,9899.370414,MCH
10345.7671,9898.286798,9898.286798,MCH
10343.23862,9897.344053,9897.344053,MCH
10386.34411,9896.845699,9896.845699,MCH
10113.6008,9896.238455,9896.238455,MCH
10078.5109,9893.779126,9893.779126,MCH
10170.62132,9893.074458,9893.074458,MCH
10070.64727,9892.995117,9892.995117,MCH
10069.24413,9885.108328,9885.108328,MCH
10095.47872,9881.461862,9881.461862,MCH
10186.59508,9878.748369,9878.748369,MCH
10117.85008,9872.170319,9872.170319,MCH
10255.56279,9870.188583,9870.188583,MCH
10217.68751,9866.759872,9866.759872,MCH
10095.6004,9866.533621,9866.533621,MCH
10177.11858,9864.621122,9864.621122,MCH
10272.4926,9859.612592,9859.612592,MCH
10107.11161,9858.920914,9858.920914,MCH
10300.3287,9858.632218,9858.632218,MCH
10167.74682,9854.772319,9854.772319,MCH
10313.915,9853.20853,9853.20853,MCH
10095.05184,9852.811999,9852.811999,MCH
